px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.30098	-1.96431	-2.74046	1.6189	1.27963	6.34522	-1.96081	6.35	-1.95	0	-3.99976	1.61989
6.31626	-2.10388	-2.7436	1.68584	1.28215	6.34095	-2.12276	6.35	-2.15	0	-3.99972	6.90261e-310
6.30942	-2.20988	-2.66597	1.70861	1.21899	6.3068	-2.23646	6.35	-2.25	0	-2	3.83586
6.33409	-2.34267	-2.66779	1.77109	1.22026	6.34785	-2.35274	6.35	-2.35	0	-1.99998	6.90261e-310
6.34187	-2.4559	-2.61393	1.80399	1.1779	6.26272	-2.46894	6.35	-2.5	0	-3	2.0097
6.37215	-2.59222	-2.63072	1.86006	1.1736	6.36265	-2.64414	6.35	-2.65	0	-3	6.90261e-310
6.42166	-2.73444	-2.68339	1.93129	1.19446	6.38105	-2.77438	6.4	-2.8	1.00003	-3.00012	1.02721
6.46819	-2.87376	-2.70731	1.98599	1.18733	6.461	-2.95066	6.45	-2.95	1.00003	-3.00009	6.90261e-310
6.53726	-3.02613	-2.79708	2.05784	1.20976	6.50958	-3.15806	6.5	-3.15	0.999284	-3.99712	2.44763
6.59062	-3.18532	-2.8507	2.09978	1.18655	6.55345	-3.36165	6.55	-3.35	0.999284	-3.99712	6.90261e-310
6.63782	-3.30066	-2.73118	2.13043	1.13228	6.64067	-3.46888	6.6	-3.45	0.909922	-1.81983	6.95115
6.70102	-3.45156	-2.76165	2.17211	1.10932	6.63536	-3.55462	6.65	-3.55	0.909917	-1.81984	6.90261e-310
6.77369	-3.57605	-2.77687	2.21826	1.09901	6.70376	-3.69784	6.7	-3.7	0.999335	-2.99802	0.414737
6.83417	-3.71868	-2.8102	2.24512	1.06829	6.75151	-3.84595	6.75	-3.85	0.99934	-2.99802	6.90261e-310
6.89743	-3.83349	-2.73082	2.27698	1.03272	6.65288	-3.91672	6.8	-4	0.908549	-2.72564	3.51585
6.96245	-3.99235	-2.76863	2.29378	0.989855	6.85764	-4.15466	6.85	-4.15	0.908537	-2.72561	6.90261e-310
7.01722	-4.08766	-2.60085	2.31663	0.943317	6.9447	-4.2991	6.9	-4.25	0.90988	-1.81977	10.6696
7.07779	-4.2291	-2.61933	2.32931	0.902936	6.94846	-4.34203	6.95	-4.35	0.909876	-1.81975	6.90261e-310
7.15645	-4.33871	-2.61963	2.35866	0.885297	7.09552	-4.55441	7	-4.5	1.00008	-3.00024	0.90046
7.20074	-4.48377	-2.64136	2.34956	0.830578	7.03506	-4.6461	7.05	-4.65	1.00008	-3.00024	6.90261e-310
7.30874	-4.6194	-2.77366	2.38205	0.827437	7.25009	-4.88515	7.15	-4.8	1.99984	-2.99976	5.43823
7.3727	-4.76555	-2.79738	2.37687	0.779325	7.26242	-4.9318	7.25	-4.95	1.99984	-2.99976	6.90261e-310
7.43265	-4.85457	-2.66357	2.39112	0.746593	7.33292	-5.08676	7.3	-5.05	1.00028	-2.00057	7.51691
7.48733	-4.99733	-2.6794	2.37803	0.69495	7.3521	-5.15533	7.35	-5.15	1.00028	-2.00056	6.90261e-310
7.56368	-5.09959	-2.64862	2.39441	0.674506	7.40318	-5.28627	7.4	-5.3	1.00003	-3.00012	1.30195
7.60767	-5.25378	-2.66392	2.36584	0.610996	7.44098	-5.44336	7.45	-5.45	1.00004	-3.00012	6.90261e-310
7.69181	-5.3637	-2.68209	2.3812	0.596401	7.46878	-5.50726	7.55	-5.55	1.99961	-1.99961	1.05608
7.75646	-5.50252	-2.697	2.36847	0.552992	7.66561	-5.647	7.65	-5.65	1.9996	-1.9996	6.90261e-310
7.83304	-5.60554	-2.6606	2.37856	0.533385	7.70927	-5.8194	7.7	-5.8	1.00027	-3.00084	1.37582
7.88282	-5.76301	-2.67979	2.34548	0.472723	7.75724	-5.96146	7.75	-5.95	1.00028	-3.00084	6.90261e-310
7.96732	-5.8709	-2.6985	2.3577	0.462285	7.71187	-5.94164	7.85	-6.05	1.9998	-1.99981	1.02652
8.03169	-6.01081	-2.71204	2.34004	0.42106	7.95005	-6.14609	7.95	-6.15	1.9998	-1.9998	6.90261e-310
